[cfg] {"img_size": 224, "batch_size": 64, "num_workers": 8, "epochs": 60, "lr": 0.0003, "weight_decay": 1e-06, "momentum_base": 0.996, "max_images": null, "save_every": 5, "no_amp": false, "smoke": false}
[env] device=cuda, torch=2.6.0+cu124
[env] GPU=NVIDIA GeForce RTX 3060 Laptop GPU, VRAM=6.4 GB
[data] tong so anh: 112120
[model] trainable params = 12.49 M
[env] AMP = True
  [ep 9 step 850/1751] loss=0.0429
  [ep 9 step 900/1751] loss=0.0403
  [ep 9 step 950/1751] loss=0.0648
  [ep 9 step 1000/1751] loss=0.0386
  [ep 9 step 1050/1751] loss=0.0402
  [ep 9 step 1100/1751] loss=0.0502
  [ep 9 step 1150/1751] loss=0.0508
  [ep 9 step 1200/1751] loss=0.0443
  [ep 9 step 1250/1751] loss=0.0362
  [ep 9 step 1300/1751] loss=0.0431
  [ep 9 step 1350/1751] loss=0.0521
  [ep 9 step 1400/1751] loss=0.0443
  [ep 9 step 1450/1751] loss=0.0462
  [ep 9 step 1500/1751] loss=0.0426
  [ep 9 step 1550/1751] loss=0.0427
  [ep 9 step 1600/1751] loss=0.0408
  [ep 9 step 1650/1751] loss=0.0378
  [ep 9 step 1700/1751] loss=0.0404
  [ep 9 step 1750/1751] loss=0.0467
[ep 009/60] avg_loss=0.0445 momentum=0.9962 time=10.2min eta=523min
[save] backbone -> xray_byol_backbone.pth (44.8 MB)
  [ep 10 step 0/1751] loss=0.0399
  [ep 10 step 50/1751] loss=0.0396
  [ep 10 step 100/1751] loss=0.0386
  [ep 10 step 150/1751] loss=0.0399
  [ep 10 step 200/1751] loss=0.0361
  [ep 10 step 250/1751] loss=0.0419
  [ep 10 step 300/1751] loss=0.0398
  [ep 10 step 350/1751] loss=0.0386
  [ep 10 step 400/1751] loss=0.0440
  [ep 10 step 450/1751] loss=0.0397
  [ep 10 step 500/1751] loss=0.0408
  [ep 10 step 550/1751] loss=0.0524
  [ep 10 step 600/1751] loss=0.0408
  [ep 10 step 650/1751] loss=0.0545
  [ep 10 step 700/1751] loss=0.0426
  [ep 10 step 750/1751] loss=0.0403
  [ep 10 step 800/1751] loss=0.0389
  [ep 10 step 850/1751] loss=0.0381
  [ep 10 step 900/1751] loss=0.0393
  [ep 10 step 950/1751] loss=0.0448
  [ep 10 step 1000/1751] loss=0.0401
  [ep 10 step 1050/1751] loss=0.0392
  [ep 10 step 1100/1751] loss=0.0395
  [ep 10 step 1150/1751] loss=0.0504
  [ep 10 step 1200/1751] loss=0.0437
  [ep 10 step 1250/1751] loss=0.0408
  [ep 10 step 1300/1751] loss=0.0414
  [ep 10 step 1350/1751] loss=0.0438
  [ep 10 step 1400/1751] loss=0.0426
  [ep 10 step 1450/1751] loss=0.0374
  [ep 10 step 1500/1751] loss=0.0374
  [ep 10 step 1550/1751] loss=0.0446
  [ep 10 step 1600/1751] loss=0.0437
  [ep 10 step 1650/1751] loss=0.0389
  [ep 10 step 1700/1751] loss=0.0385
  [ep 10 step 1750/1751] loss=0.0426
[ep 010/60] avg_loss=0.0421 momentum=0.9962 time=9.6min eta=481min
[save] backbone -> xray_byol_backbone.pth (44.8 MB)
  [ep 11 step 0/1751] loss=0.0450
  [ep 11 step 50/1751] loss=0.0480
  [ep 11 step 100/1751] loss=0.0520
  [ep 11 step 150/1751] loss=0.0370
  [ep 11 step 200/1751] loss=0.0368
  [ep 11 step 250/1751] loss=0.0439
  [ep 11 step 300/1751] loss=0.0417
  [ep 11 step 350/1751] loss=0.0517
  [ep 11 step 400/1751] loss=0.0427
  [ep 11 step 450/1751] loss=0.0384
  [ep 11 step 500/1751] loss=0.0402
  [ep 11 step 550/1751] loss=0.0403
  [ep 11 step 600/1751] loss=0.0545
  [ep 11 step 650/1751] loss=0.0372
  [ep 11 step 700/1751] loss=0.0403
  [ep 11 step 750/1751] loss=0.0384
  [ep 11 step 800/1751] loss=0.0446
  [ep 11 step 850/1751] loss=0.0413
  [ep 11 step 900/1751] loss=0.0384
  [ep 11 step 950/1751] loss=0.0335
  [ep 11 step 1000/1751] loss=0.0420
  [ep 11 step 1050/1751] loss=0.0390
  [ep 11 step 1100/1751] loss=0.0371
  [ep 11 step 1150/1751] loss=0.0413
  [ep 11 step 1200/1751] loss=0.0431
  [ep 11 step 1250/1751] loss=0.0481
  [ep 11 step 1300/1751] loss=0.0438
  [ep 11 step 1350/1751] loss=0.0392
  [ep 11 step 1400/1751] loss=0.0484
  [ep 11 step 1450/1751] loss=0.0476
  [ep 11 step 1500/1751] loss=0.0431
  [ep 11 step 1550/1751] loss=0.0383
  [ep 11 step 1600/1751] loss=0.0383
  [ep 11 step 1650/1751] loss=0.0452
  [ep 11 step 1700/1751] loss=0.0432
  [ep 11 step 1750/1751] loss=0.0384
[ep 011/60] avg_loss=0.0412 momentum=0.9963 time=10.4min eta=510min
[save] backbone -> xray_byol_backbone.pth (44.8 MB)
  [ep 12 step 0/1751] loss=0.0376
  [ep 12 step 50/1751] loss=0.0413
  [ep 12 step 100/1751] loss=0.0369
  [ep 12 step 150/1751] loss=0.0346
  [ep 12 step 200/1751] loss=0.0458
  [ep 12 step 250/1751] loss=0.0402
  [ep 12 step 300/1751] loss=0.0416
  [ep 12 step 350/1751] loss=0.0365
  [ep 12 step 400/1751] loss=0.0426
  [ep 12 step 450/1751] loss=0.0418
  [ep 12 step 500/1751] loss=0.0410
  [ep 12 step 550/1751] loss=0.0404
  [ep 12 step 600/1751] loss=0.0420
  [ep 12 step 650/1751] loss=0.0389
  [ep 12 step 700/1751] loss=0.0417
  [ep 12 step 750/1751] loss=0.0450
  [ep 12 step 800/1751] loss=0.0423
  [ep 12 step 850/1751] loss=0.0379
  [ep 12 step 900/1751] loss=0.0373
  [ep 12 step 950/1751] loss=0.0418
  [ep 12 step 1000/1751] loss=0.0428
  [ep 12 step 1050/1751] loss=0.0486
  [ep 12 step 1100/1751] loss=0.0415
  [ep 12 step 1150/1751] loss=0.0400
  [ep 12 step 1200/1751] loss=0.0410
  [ep 12 step 1250/1751] loss=0.0470
  [ep 12 step 1300/1751] loss=0.0374
  [ep 12 step 1350/1751] loss=0.0377
  [ep 12 step 1400/1751] loss=0.0352
  [ep 12 step 1450/1751] loss=0.0363
  [ep 12 step 1500/1751] loss=0.0408
  [ep 12 step 1550/1751] loss=0.0390
  [ep 12 step 1600/1751] loss=0.0367
  [ep 12 step 1650/1751] loss=0.0386
  [ep 12 step 1700/1751] loss=0.0425
  [ep 12 step 1750/1751] loss=0.0438
[ep 012/60] avg_loss=0.0406 momentum=0.9963 time=10.2min eta=489min
[save] backbone -> xray_byol_backbone.pth (44.8 MB)
  [ep 13 step 0/1751] loss=0.0381
  [ep 13 step 50/1751] loss=0.0385
  [ep 13 step 100/1751] loss=0.0393
  [ep 13 step 150/1751] loss=0.0386
  [ep 13 step 200/1751] loss=0.0408
  [ep 13 step 250/1751] loss=0.0386
  [ep 13 step 300/1751] loss=0.0433
  [ep 13 step 350/1751] loss=0.0357
  [ep 13 step 400/1751] loss=0.0431
  [ep 13 step 450/1751] loss=0.0463
  [ep 13 step 500/1751] loss=0.0376
